record_id,source,group,test_standard,LL,PL,PI,fines_pct,sand_pct,energy_kJm3,Gs,MDD_Mgm3,OMC_frac
ltpp-89-1125-c1-L3-t2,ltpp-sdr39,LTPP-89,SP,17.0,14.0,3.0,15.7,39.3,592.5,2.673,2.24258482,0.07
ltpp-9-1803-c3-L1-t2,ltpp-sdr39,LTPP-9,SP,24.0,20.0,4.0,58.7,34.3,592.5,2.68,1.778049393,0.16
ltpp-90-6405-c1-L1-t1,ltpp-sdr39,LTPP-90,SP,19.0,14.0,5.0,40.0,56.0,592.5,2.68,1.938234023,0.14
ltpp-90-6405-c1-L1-t2,ltpp-sdr39,LTPP-90,SP,19.0,14.0,5.0,40.0,56.0,592.5,2.68,1.76203093,0.11
ltpp-90-6801-c1-L1-t1,ltpp-sdr39,LTPP-90,SP,27.0,15.0,12.0,53.8,40.2,592.5,2.68,1.906197097,0.11
ltpp-90-6801-c1-L1-t2,ltpp-sdr39,LTPP-90,SP,27.0,15.0,12.0,53.8,40.2,592.5,2.68,1.92221556,0.12
soranzo_0090,zenodo:10.5281/zenodo.14251190,Langenlois,SP,30.59,20.05,10.54,84.39999999999999,14.9,592.5,2.75,1.852,0.152
soranzo_0095,zenodo:10.5281/zenodo.14251190,Sankt Valentin,SP,67.72,24.4,43.32,98.8,1.2,592.5,2.753,1.623,0.206
soranzo_0096,zenodo:10.5281/zenodo.14251190,Sankt Valentin,SP,39.92,21.0,18.91,90.7,8.5,592.5,2.746,1.736,0.181
soranzo_0097,zenodo:10.5281/zenodo.14251190,Gneixendorf,SP,43.7,22.6,21.1,88.1,11.9,592.5,2.75,1.692,0.1969999999999999
soranzo_0099,zenodo:10.5281/zenodo.14251190,Gneixendorf,SP,62.5,25.1,37.4,89.5,10.5,592.5,2.75,1.618,0.221
soranzo_0100,zenodo:10.5281/zenodo.14251190,Gneixendorf,SP,60.1,21.9,38.2,90.6,9.4,592.5,2.75,1.7,0.186
soranzo_0101,zenodo:10.5281/zenodo.14251190,Gneixendorf,SP,48.9,20.9,28.1,89.2,10.8,592.5,2.75,1.709,0.179
soranzo_0102,zenodo:10.5281/zenodo.14251190,Gneixendorf,SP,44.3,22.6,21.6,87.1,12.9,592.5,2.75,1.67,0.195
soranzo_0103,zenodo:10.5281/zenodo.14251190,Gneixendorf,SP,59.2,22.6,36.5,85.19999999999999,14.9,592.5,2.75,1.712,0.19
soranzo_0104,zenodo:10.5281/zenodo.14251190,Gneixendorf,SP,42.5,24.6,18.0,89.2,10.8,592.5,2.75,1.634,0.213
soranzo_0105,zenodo:10.5281/zenodo.14251190,Gneixendorf,SP,40.6,21.9,18.7,84.7,15.3,592.5,2.75,1.726,0.184
soranzo_0106,zenodo:10.5281/zenodo.14251190,Gneixendorf,SP,42.0,22.2,19.8,88.89999999999999,11.1,592.5,2.75,1.698,0.193
