record_id,source,reference_or_doi,test_standard,energy_kJm3,gravel_pct,sand_pct,silt_pct,clay_pct,fines_pct,D10,D30,D50,D60,Cu,Cc,LL,PL,PI,uscs,Gs,Gs_imputed,MDD_Mgm3,OMC_frac,S_opt
gun_320,figshare:10.6084/m9.figshare.28681187,Isık (2012),SP,592.5,15.200000000000005,54.5,,,30.3,,,,,,,38.9,18.7,20.2,,2.68,True,2.023853211009174,0.1096,0.905989888143176
gun_321,figshare:10.6084/m9.figshare.28681187,Isık (2012),SP,592.5,10.299999999999995,59.2,,,30.5,,,,,,,41.5,21.5,20.0,,2.68,True,1.979001019367992,0.1157,0.8753803315495583
gun_322,figshare:10.6084/m9.figshare.28681187,Isık (2012),SP,592.5,5.400000000000006,63.99999999999999,,,30.6,,,,,,,36.3,18.8,17.499999999999996,,2.68,True,1.984301732925586,0.1156,0.8836482428789122
gun_323,figshare:10.6084/m9.figshare.28681187,Isık (2012),SP,592.5,0.5,68.8,,,30.7,,,,,,,35.1,18.8,16.3,,2.68,True,1.966156982670744,0.1074,0.7927834032101443
gun_324,figshare:10.6084/m9.figshare.28681187,Isık (2012),SP,592.5,20.0,31.3,,,48.7,,,,,,,53.4,18.3,35.099999999999994,,2.68,True,1.929765545361876,0.1307,0.9009857545041992
gun_325,figshare:10.6084/m9.figshare.28681187,Isık (2012),SP,592.5,20.099999999999994,35.800000000000004,,,44.1,,,,,,,49.2,21.3,27.9,,2.68,True,1.9454638124362893,0.1264,0.8972052957339914
gun_326,figshare:10.6084/m9.figshare.28681187,Isık (2012),SP,592.5,20.099999999999994,45.10000000000001,,,34.8,,,,,,,46.5,22.5,24.0,,2.68,True,2.020183486238532,0.1043999999999999,0.8566490322580633
gun_327,figshare:10.6084/m9.figshare.28681187,Isık (2012),SP,592.5,20.200000000000003,54.3,,,25.5,,,,,,,41.4,16.5,24.9,,2.68,True,2.048012232415902,0.0932,0.8094212097164423
gun_328,figshare:10.6084/m9.figshare.28681187,Isık (2012),SP,592.5,20.3,63.5,,,16.2,,,,,,,34.3,22.4,11.9,,2.68,True,2.1087665647298675,0.0859,0.8498511088903954
gun_329,figshare:10.6084/m9.figshare.28681187,Isık (2012),SP,592.5,20.200000000000003,58.9,,,20.9,,,,,,,38.0,20.9,17.1,,2.68,True,2.0751274209989803,0.086,0.7907043311200236
gun_33,figshare:10.6084/m9.figshare.28681187,Günaydın et. al. (2009),SP,592.5,1.71,32.29,,,66.0,,,,,,,35.3,15.47,19.83,,2.68,True,1.7278287461773698,0.1689999999999999,0.8218775693730721
gun_330,figshare:10.6084/m9.figshare.28681187,Isık (2012),SP,592.5,15.299999999999995,63.7,,,21.0,,,,,,,36.5,16.3,20.2,,2.68,True,2.0481141692150864,0.0897,0.779188944957088
gun_331,figshare:10.6084/m9.figshare.28681187,Isık (2012),SP,592.5,10.400000000000006,68.39999999999999,,,21.2,,,,,,,36.4,16.2,20.2,,2.68,True,2.041386340468909,0.0938,0.8035716996552162
gun_332,figshare:10.6084/m9.figshare.28681187,Isık (2012),SP,592.5,5.5,73.2,,,21.3,,,,,,,32.3,17.3,14.999999999999996,,2.68,True,2.015800203873598,0.0982,0.7987208631326924
gun_333,figshare:10.6084/m9.figshare.28681187,Isık (2012),SP,592.5,0.5999999999999943,77.9,,,21.5,,,,,,,31.1,17.3,13.8,,2.68,True,2.010907237512742,0.0960999999999999,0.774040859867758
gun_334,figshare:10.6084/m9.figshare.28681187,Isık (2012),SP,592.5,20.3,68.10000000000001,,,11.6,,,,,,,28.1,16.1,12.0,,2.68,True,2.1170234454638126,0.085,0.8566217136235244
gun_335,figshare:10.6084/m9.figshare.28681187,Isık (2012),SP,592.5,15.400000000000006,72.89999999999999,,,11.7,,,,,,,27.5,16.3,11.2,,2.68,True,2.082976554536188,0.0941,0.8798677762600743
gun_336,figshare:10.6084/m9.figshare.28681187,Isık (2012),SP,592.5,10.5,77.6,,,11.9,,,,,,,28.6,16.5,12.1,,2.68,True,2.0573904179408764,0.0960999999999999,0.8510578741936524
gun_337,figshare:10.6084/m9.figshare.28681187,Isık (2012),SP,592.5,5.5,82.5,,,12.0,,,,,,,27.7,17.0,10.7,,2.68,True,2.03710499490316,0.1009,0.8568391907147842
gun_338,figshare:10.6084/m9.figshare.28681187,Isık (2012),SP,592.5,0.5999999999999943,87.2,,,12.2,,,,,,,29.4,16.3,13.099999999999998,,2.68,True,1.999490316004077,0.1137,0.8953240570418516
gun_339,figshare:10.6084/m9.figshare.28681187,Isık (2012),SP,592.5,20.3,73.7,,,6.0,,,,,,,29.8,,28.8,,2.68,True,2.0544342507645257,0.1003999999999999,0.8836652796245581
gun_340,figshare:10.6084/m9.figshare.28681187,Isık (2012),SP,592.5,15.400000000000006,78.39999999999999,,,6.2,,,,,,,28.5,,27.5,,2.68,True,2.0046890927624874,0.1082,0.8608060644849658
